RegionCode,ISO3V10,AmphRich,Rept_rich,BirdRich,MamsRich,VA_Mean,PS_Mean,GE_Mean,RL_Mean
CAR,CUB,62,14,29,39,-1.78,0.29,-0.33,-0.8
CAR,DMA,4,4,8,13,1.02,0.78,0.45,0.64
CAR,DOM,36,15,24,20,0.11,-0.1,-0.53,-0.67
CAR,GRD,4,1,5,18,0.76,0.65,0.23,0.21
CAR,HTI,51,17,22,20,-0.93,-1.33,-1.46,-1.56
CAR,JAM,25,5,21,23,0.55,-0.3,0.15,-0.48
CAR,LCA,4,3,10,9,1.14,0.88,0.47,0.7
CAR,VCT,4,2,6,14,1.04,0.93,0.42,0.73
CAR,TTO,36,5,4,88,0.56,-0.13,0.3,-0.05
EECA,ALB,17,23,13,82,0.01,-0.32,-0.48,-0.79
EECA,ARM,8,34,19,97,-0.68,-0.11,-0.21,-0.41
EECA,AZE,10,41,19,112,-1.11,-0.8,-0.78,-0.85
EECA,BLR,13,3,10,80,-1.54,0.24,-1.05,-1.12
EECA,BIH,19,22,12,90,-0.01,-0.44,-0.71,-0.52
EECA,HRV,21,26,15,97,0.53,0.51,0.5,0.05
EECA,GEO,13,36,21,104,-0.25,-0.93,-0.23,-0.63
EECA,KAZ,13,9,24,176,-1.09,0.33,-0.54,-0.9
EECA,KGZ,2,8,17,92,-0.96,-0.91,-0.73,-1.08
EECA,MKD,14,18,14,83,-0.01,-0.7,-0.25,-0.45
EECA,MDA,14,6,13,74,-0.36,-0.35,-0.7,-0.49
EECA,RUS,34,33,64,277,-0.74,-1.01,-0.43,-0.92
EECA,TJK,1,10,17,93,-1.29,-1.11,-1.08,-1.18
EECA,TUR,34,94,26,145,-0.16,-0.85,0.16,0.06
EECA,TKM,4,20,17,100,-1.98,0.08,-1.51,-1.43
EECA,UKR,20,11,19,111,-0.27,-0.24,-0.68,-0.85
EECA,UZB,1,9,17,104,-1.88,-1.31,-0.96,-1.3
WEU,AUT,20,9,10,92,1.38,1.12,1.86,1.87
WEU,BEL,19,3,6,63,1.41,0.85,1.73,1.31
WEU,BGR,18,19,17,90,0.55,0.29,0.06,-0.15
WEU,CYP,3,12,12,29,1.06,0.42,1.31,1.03
WEU,CZE,21,6,9,78,0.98,0.87,0.94,0.83
WEU,DNK,14,2,6,47,1.62,1.13,2.2,1.92
WEU,EST,11,2,6,58,1.06,0.69,1.02,0.95
WEU,FIN,5,1,6,55,1.59,1.53,2.17,1.95
WEU,FRA,153,97,93,324,1.25,0.54,1.61,1.41
WEU,DEU,24,8,9,82,1.41,0.91,1.63,1.64
WEU,GRC,24,38,21,102,0.98,0.41,0.69,0.77
WEU,HUN,17,11,11,83,1.08,0.84,0.86,0.86
WEU,IRL,3,1,5,27,1.39,1.23,1.58,1.64
WEU,ITA,45,38,17,108,1.01,0.53,0.6,0.49
WEU,LVA,14,2,8,62,0.81,0.62,0.57,0.59
WEU,LIE,9,3,6,68,1.41,1.4,1.69,1.36
WEU,LTU,13,2,8,61,0.9,0.75,0.63,0.56
WEU,LUX,15,3,4,60,1.51,1.45,1.8,1.82
WEU,MLT,2,6,7,12,1.23,1.32,1.06,1.47
WEU,NLD,19,5,11,68,1.56,1.04,1.89,1.76
WEU,NOR,6,1,8,55,1.58,1.28,1.9,1.92
WEU,POL,18,5,9,86,0.96,0.58,0.53,0.52
WEU,PRT,20,26,17,70,1.29,0.98,1.03,1.12
WEU,SRB,22,17,12,95,0,-0.68,-0.32,-0.72
WEU,SVK,19,7,10,89,0.92,0.83,0.8,0.45
WEU,SVN,22,19,10,86,1.07,1.03,1,0.96
WEU,ESP,40,71,24,113,1.18,0.09,1.31,1.18
WEU,SWE,13,2,6,62,1.57,1.26,1.99,1.88
WEU,CHE,19,11,6,89,1.55,1.26,2.01,1.85
WEU,GBR,14,2,7,50,1.36,0.42,1.72,1.67
MENA,DZA,10,47,23,94,-0.98,-1.33,-0.62,-0.72
MENA,BHR,1,10,8,10,-0.81,-0.04,0.48,0.64
MENA,EGY,9,24,22,99,-1.08,-0.63,-0.39,-0.04
MENA,IRN,22,111,28,174,-1.34,-1.04,-0.54,-0.71
MENA,IRQ,6,47,22,84,-1.44,-2.44,-1.58,-1.71
MENA,ISR,9,31,19,97,0.65,-1.44,1.21,0.89
MENA,JOR,6,36,15,86,-0.66,-0.32,0.13,0.37
MENA,KWT,0,15,12,34,-0.45,0.32,0.08,0.59
MENA,LBN,8,34,16,71,-0.42,-1.24,-0.34,-0.46
MENA,LBY,4,19,15,67,-1.84,0.25,-1.08,-0.84
MENA,MAR,13,55,22,99,-0.7,-0.44,-0.14,-0.09
MENA,OMN,3,19,13,51,-0.91,0.9,0.41,0.57
MENA,QAT,0,13,9,22,-0.71,1.02,0.53,0.69
MENA,SAU,8,26,23,72,-1.6,-0.34,-0.22,0.13
MENA,SDN,23,9,29,182,-1.66,-2.24,-1.24,-1.4
MENA,SYR,9,48,23,97,-1.63,-0.34,-0.86,-0.5
MENA,TUN,6,32,20,70,-1.08,0.15,0.45,0.1
MENA,ARE,2,18,12,37,-0.85,0.84,0.79,0.52
MENA,YEM,6,17,23,60,-1.1,-1.64,-0.92,-1.16
NAM,CAN,51,31,30,161,1.47,1.03,1.89,1.74
NAM,USA,305,246,130,392,1.22,0.25,1.6,1.54
SSA,AGO,128,31,43,303,-1.23,-0.88,-1.22,-1.41
SSA,BEN,40,17,18,180,0.24,0.46,-0.45,-0.54
SSA,BWA,50,23,27,179,0.55,0.92,0.56,0.61
SSA,BFA,31,13,20,160,-0.34,0.01,-0.63,-0.43
SSA,BDI,41,11,35,204,-1.02,-1.81,-1.25,-1.24
SSA,CMR,197,26,43,341,-1.05,-0.48,-0.81,-1.16
SSA,CAF,80,14,22,272,-1.02,-1.71,-1.48,-1.46
SSA,TCD,32,15,24,147,-1.27,-1.61,-1.27,-1.32
SSA,COM,0,6,9,10,-0.48,-0.41,-1.54,-1.03
SSA,COG,88,14,15,245,-1.09,-0.91,-1.27,-1.26
SSA,CIV,97,21,34,246,-1.25,-1.83,-1.16,-1.39
SSA,DJI,7,8,18,70,-0.92,-0.19,-0.87,-0.73
SSA,GNQ,90,13,13,173,-1.76,-0.04,-1.54,-1.31
SSA,ERI,19,13,28,105,-1.96,-0.79,-1.15,-0.89
SSA,ETH,64,20,44,278,-1.18,-1.54,-0.65,-0.74
SSA,GAB,89,14,11,184,-0.8,0.25,-0.73,-0.47
SSA,GMB,29,11,21,115,-0.85,0.2,-0.61,-0.26
SSA,GHA,78,19,34,242,0.3,-0.04,-0.1,-0.05
SSA,GIN,89,18,31,240,-1.24,-1.66,-1.04,-1.34
SSA,GNB,34,11,20,125,-0.78,-0.54,-1.18,-1.3
SSA,KEN,99,28,50,358,-0.32,-1.23,-0.61,-0.92
SSA,LSO,25,11,16,98,-0.11,0.05,-0.36,-0.17
SSA,LBR,67,17,27,188,-0.7,-1.46,-1.41,-1.37
SSA,MDG,241,61,37,195,-0.23,-0.17,-0.56,-0.4
SSA,MWI,84,17,28,210,-0.34,-0.02,-0.56,-0.27
SSA,MLI,29,16,26,161,0.22,0.17,-0.76,-0.31
SSA,MRT,13,12,28,95,-0.91,-0.3,-0.56,-0.67
SSA,MUS,2,1,13,6,0.83,0.82,0.64,0.93
SSA,MOZ,82,44,46,234,-0.08,0.21,-0.49,-0.64
SSA,NAM,57,31,47,190,0.35,0.59,0.1,0.19
SSA,NER,22,11,23,137,-0.34,-0.47,-0.82,-0.72
SSA,NGA,108,22,36,291,-0.73,-1.78,-0.97,-1.27
SSA,RWA,48,12,39,238,-1.34,-0.87,-0.46,-0.74
SSA,STP,7,3,14,8,0.27,0.45,-0.67,-0.52
SSA,SEN,34,15,26,162,0.01,-0.26,-0.27,-0.2
SSA,SYC,12,18,11,5,0.05,0.83,0.06,0.18
SSA,SLE,58,15,26,181,-0.5,-0.59,-1.26,-1.12
SSA,SOM,30,20,30,153,-1.85,-2.76,-2.18,-2.36
SSA,ZAF,119,57,67,261,0.62,-0.1,0.59,0.11
SSA,SWZ,47,28,19,149,-1.33,-0.08,-0.8,-0.73
SSA,TZA,184,36,61,360,-0.26,-0.4,-0.43,-0.4
SSA,TGO,49,16,25,184,-1.21,-0.4,-1.46,-0.9
SSA,UGA,69,18,45,352,-0.62,-1.28,-0.54,-0.53
SSA,ZMB,91,25,28,258,-0.34,0.19,-0.81,-0.51
SSA,ZWE,66,29,28,219,-1.49,-1.23,-1.17,-1.66
